Symbol,Name,Sector,Country,sss_value,sss_value_normalized,annualized_revenue,annualized_revenue_bonus,annualized_earnings,annualized_retained_earnings,annualized_retained_earnings_bonus,quarterized_revenue,quarterized_revenue_bonus,quarterized_earnings,quarterized_earnings_bonus,quarterized_retained_earnings,quarterized_retained_earnings_bonus,effective_earnings,effective_retained_earnings,effective_revenue,annualized_total_revenue,annualized_total_revenue_bonus,annualized_net_income,quarterized_total_revenue,quarterized_total_revenue_bonus,quarterized_net_income,quarterized_net_income_bonus,effective_net_income,effective_total_revenue,enterprise_value_to_revenue,evr_effective,evr_effective_normalized,trailing_price_to_earnings,forward_price_to_earnings,effective_price_to_earnings,trailing_12months_price_to_sales,trailing_12months_price_to_sales_normalized,pe_effective,pe_effective_normalized,enterprise_value_to_ebitda,effective_ev_to_ebitda,effective_ev_to_ebitda_normalized,ebitda,quarterized_ebitd,annualized_ebitd,ebitd,profit_margin,annualized_profit_margin,annualized_profit_margin_boost,quarterized_profit_margin,quarterized_profit_margin_boost,effective_profit_margin,effective_profit_margin_normalized,held_percent_institutions,held_percent_insiders,held_percent_insiders_normalized,forward_eps,trailing_eps,previous_close,trailing_eps_percentage,price_to_book,price_to_book_normalized,shares_outstanding,net_income_to_common_shareholders,nitcsh_to_shares_outstanding,employees,enterprise_value,market_cap,nitcsh_to_num_employees,eqg,rqg,eqg_yoy,rqg_yoy,niqg_yoy,trqg_yoy,eqg_effective,eqg_factor_effective,eqg_factor_effective_normalized,rqg_effective,rqg_factor_effective,rqg_factor_effective_normalized,price_to_earnings_to_growth_ratio,effective_peg_ratio,effective_peg_ratio_normalized,annualized_cash_flow_from_operating_activities,annualized_cash_flow_from_operating_activities_bonus,quarterized_cash_flow_from_operating_activities,quarterized_cash_flow_from_operating_activities_bonus,annualized_ev_to_cfo_ratio,quarterized_ev_to_cfo_ratio,ev_to_cfo_ratio_effective,ev_to_cfo_ratio_effective_normalized,annualized_debt_to_equity,annualized_debt_to_equity_bonus,quarterized_debt_to_equity,quarterized_debt_to_equity_bonus,debt_to_equity_effective,debt_to_equity_effective_used,debt_to_equity_effective_used_normalized,financial_currency,summary_currency,financial_currency_conversion_rate_mult_to_usd,summary_currency_conversion_rate_mult_to_usd,last_dividend_0,last_dividend_1,last_dividend_2,last_dividend_3,fifty_two_week_change,fifty_two_week_low,fifty_two_week_high,two_hundred_day_average,previous_close_percentage_from_200d_ma,previous_close_percentage_from_52w_low,previous_close_percentage_from_52w_high,dist_from_low_factor,eff_dist_from_low_factor,eff_dist_from_low_factor_normalized,annualized_total_ratio,annualized_total_ratio_bonus,quarterized_total_ratio,quarterized_total_ratio_bonus,annualized_other_current_ratio,annualized_other_current_ratio_bonus,quarterized_other_current_ratio,quarterized_other_current_ratio_bonus,annualized_other_ratio,annualized_other_ratio_bonus,quarterized_other_ratio,quarterized_other_ratio_bonus,annualized_total_current_ratio,annualized_total_current_ratio_bonus,quarterized_total_current_ratio,quarterized_total_current_ratio_bonus,total_ratio_effective,other_current_ratio_effective,other_ratio_effective,total_current_ratio_effective,effective_current_ratio,effective_current_ratio_normalized,annualized_total_assets,annualized_total_assets_bonus,quarterized_total_assets,quarterized_total_assets_bonus,effective_total_assets,annualized_total_stockholder_equity,annualized_total_stockholder_equity_bonus,quarterized_total_stockholder_equity,quarterized_total_stockholder_equity_bonus,effective_total_stockholder_equity,calculated_roa,calculated_roa_normalized,calculated_roe,calculated_roe_normalized,annualized_working_capital,quarterized_working_capital,effective_working_capital,annualized_total_liabilities,annualized_total_liabilities_bonus,quarterized_total_liabilities,quarterized_total_liabilities_bonus,effective_total_liabilities,altman_z_score_factor,altman_z_score_factor_normalized,skip_reason
AM,Antero Midstream Corporation,Energy,United States,2.15e-05,-0.602550457086122,744634666.6666666,1.0,-151008733.3333333,-3385997333.333333,0.125,964980000.0,1.0,345629000.0,1.0,-4495256000.0,0.375,345629000.0,-4495256000.0,964980000.0,744634666.6666666,1.0,-151008733.3333333,964980000.0,1.0,345629000.0,1.0,345629000.0,964980000.0,7.751,7.751,0.11948880804094471,14.301369,13.215189,14.1655965,5.164478,0.08627751490964336,14.1655965,0.00016188090078999304,10.015,10.0146289,2.0399120331279906e-05,746903645.381927,746959000.0,557265400.0,746959000.0,0.35817,79046176.466247,0.025,0.1684384,0.5,26348725.6652851,1.0,0.5278799,0.32878,0.3650515189198792,0.79,0.73,10.47,0.069723,2.112505,0.002112505,477358016,345079008,0.7228935,522,7479685632,4983617536,661070.8965517,-0.093,0.055,4.7488009,0.0819164,4.7488009,0.0819164,1.1174502,10.8209518,0.049862086480731815,0.0617291,2.7345341,0.04117926276015932,-0.8,125000.0,0.337499999999973,1161566133.3333333,2.0,751610000.0,1.0,6.439311,9.9515515,9.9515515,9.9515515e-13,0.5518281,0.5,1.3582418,1.0,1.3582418,1.1664363,1.3237132385322162e-05,USD,USD,1.0,1.0,0,0,0,0,10.47,6.56,11.71,9.7666,7.2020969,59.6036585,-10.58924,1.5184466,12.2573657,0.1915213390625,0.9944001,0.5,0.434146,0.25,0.1330501,3.0,0.0302722,1.0,1.5347074,0.0833333,2.9188039,0.25,0.7037274,1.0,0.9739903,1.0,0.444146,0.0402722,2.9288039,0.9839903,0.7140681,0.003508296685344542,4676265133.333333,1.0,3707035733.333333,0.6666667,3707035733.333333,2133151600.0,1.0,1572311777.7777777,0.6666667,1572311777.7777777,0.193236,0.23836479647660822,0.3198222,0.021233678315491875,-38048666.6666667,-7394866.6666667,-7394866.6666667,5086227066.666667,2.0,3202085933.333333,1.0,3202085933.333333,0.0397374,0.004044396126094365,None
CAH,"Cardinal Health, Inc.",Healthcare,United States,104.1775092,0.008374175775061419,623813600000.0,4.0,-460933333.3333333,1988866666.6666667,1.0,162467000000.0,1.0,152750000.0,0.25,4464000000.0,1.0,152750000.0,4464000000.0,162467000000.0,623813600000.0,4.0,-460933333.3333333,162467000000.0,1.0,152750000.0,0.25,152750000.0,162467000000.0,0.107,0.107,0.001649503607325646,12.629289,7.9693055,12.0467911,0.0880979,0.0014717591750334246,12.0467911,0.0001376677215743701,6.284,6.2840401,1.2800163785049311e-05,2774035376.193507,2774000000.0,2761000000.0,2774000000.0,0.00376,-0.003586,0.35,9.62e-05,0.025,0.0010901,4.137201980269678e-11,0.89002,0.00394,0.004374666903535264,6.19,3.906,49.73,0.0785441,8.0198345,0.0080198345,290148000,611000000,2.1058219,46354,17432260608,14313000960,13181.1709885,-0.823,0.161,0.9034598,0.059282,0.9034598,0.059282,-0.391385,0.2108615,0.0009716330451131696,0.1355705,3.9319901,0.059211714894411134,1.41,1.41,3.806999999999695e-06,2365600000.0,1.0,2429000000.0,1.0,7.3690652,7.1767232,7.1767232,7.1767232e-13,9.8075784,0.5,23.7530997,1.0,23.7530997,4.8747152,5.531999513659014e-05,USD,USD,1.0,1.0,0,0,0,0,49.73,47.15,62.96,54.79115,-9.237167,5.4718982,-21.0133418,0.3263757,0.3273757,0.0051152453125,0.5355031,0.5,1.0423158,1.0,7.3604497,1.0,5.7569892,0.5,0.056572,0.5,0.019405,0.25,2.2125084,2.0,2.3002575,2.0,1.0523158,5.7669892,0.029405,2.3102575,1.6812866,0.008260349686387327,42704333333.333336,1.0,44152333333.333336,1.0,44152333333.333336,2679933333.333333,1.0,1790133333.3333333,1.0,1790133333.3333333,0.1034596,0.1276218018254947,0.1853288,0.012304374498693744,2775200000.0,3952533333.3333335,3952533333.3333335,80041866666.66667,2.0,42358800000.0,1.0,42358800000.0,2.0829636,0.2120000280500378,None
JD,"JD.com, Inc.",Consumer Cyclical,China,1.0592048,0.018445158405009376,399006283515.3297,4.0,4578839810.446692,529326107.5472333,0.25,125640693690.9064,1.0,8130562392.8708,1.0,6096269652.855599,1.0,8130562392.8708,6096269652.855599,125640693690.9064,399006283515.3297,4.0,4578839810.446692,125640693690.9064,1.0,8130562392.8708,1.0,8130562392.8708,125640693690.9064,0.061,0.061,0.0009403712153912561,17.339108,36.404957,19.7223391,0.1710908,0.0028582344716935205,19.7223391,0.0002253819681503494,2.998,2.9951421,6.100901462977064e-06,16309446035.69046,16340541000.0,12475360000.0,16340541000.0,0.06471,0.0187583,0.35,0.496515,10.0,0.1943278,7.37522574976103e-09,0.42067,0.07018,0.0779223663172855,2.42,5.081,83.15,0.0611064,0.7223443,0.0007223443000000001,1558989952,51949686784,33.3226566,310000,48802496512,137347014656,167579.6347871,2.372,0.39,1.8972295,0.277654,1.8972295,0.277654,2.2533074,15.2610205,0.07032157041446402,0.3619135,6.2659248,0.09435836392553991,102.7,102.7,0.0002772899999999778,5301450633.13272,1.0,1908255795.1226664,0.3333333,9.2054986,25.5743997,25.5743997,2.55743997e-12,0.7764226,0.5,1.0917662,1.0,1.0917662,1.0458762,1.186897365767653e-05,CNY,USD,0.1565084,1.0,0,0,0,0,83.15,61.65,108.29,78.63777,5.7379933,34.8742903,-23.21544,0.9219554,0.9229554,0.014421178125,5.5848121,3.0,4.2061186,2.0,0.2703681,1.0,0.5141661,1.0,3.3694617,1.0,7.9842637,2.0,0.582532,0.5,2.6959439,2.0,4.2161186,0.5241661,7.9942637,2.7059439,3.4610313,0.01700443506391577,104747563159.93645,2.0,63753410903.49213,1.0,63753410903.49213,41722071875.36,2.0,42210522258.89807,1.5,42210522258.89807,0.2275314,0.28066962601708656,0.2926193,0.01942761973716775,29823498333.33333,57957144533.333336,57957144533.333336,55051036828.4456,2.0,30348932037.001465,1.0,30348932037.001465,2.5990511,0.2645264209626523,None
MAN,ManpowerGroup,Industrials,United States,59.5634998,0.019121954968312056,19498580000.0,1.0,247466666.6666667,3341013333.333333,1.0,20397000000.0,1.0,347500000.0,1.0,20888250000.0,1.5,347500000.0,20888250000.0,20397000000.0,19498580000.0,1.0,247466666.6666667,20397000000.0,1.0,347500000.0,1.0,347500000.0,20397000000.0,0.256,0.256,0.003946475920330518,67.83025,12.295284,60.8883793,0.2649162,0.004425676979417099,60.8883793,0.000695817199701175,8.094,8.093894,1.6486713517125376e-05,645383097.6031629,645400000.0,633426666.6666666,645400000.0,0.01704,0.0033467,0.5,0.1845944,10.0,0.0693271,2.631136734302853e-09,0.98645,0.00756,0.008394030911351928,8.06,1.461,98.53,0.014828,2.288261,0.0022882609999999998,54525700,347500000,6.3731415,25000,5223593984,5403496960,13900.0,8.485,0.121,-0.5859692,-0.0865532,-0.5859692,-0.0865532,6.2172577,25.1844294,0.11604785049598733,0.0691117,2.8789106,0.04335342391978507,0.5,0.5,1.349999999999892e-06,1615453333.3333333,2.0,603600000.0,1.0,3.2335159,8.6540656,8.6540656,8.6540656e-13,5.141492,2.0,2.8667432,1.0,2.8667432,1.694146,1.9225769021475067e-05,USD,USD,1.0,1.0,0,0,0,0,98.53,85.97,125.07,111.48585,-11.6210712,14.6097476,-21.2201167,0.6424552,0.6434552,0.0100539875,0.4659086,0.3333333,1.350443,1.0,0.5090197,3.0,0.2028559,1.0,0.7734584,1.0,1.7282539,2.0,1.4252707,1.0,0.3331301,0.25,1.360443,0.2128559,1.7382539,0.3431301,0.8517866,0.004184923126240896,9162933333.333334,1.0,9419013333.333334,1.0,9419013333.333334,2568313333.333333,1.0,2433946666.6666665,1.0,2433946666.6666665,0.1368935,0.16886393460054322,0.2427722,0.0161181644011712,1935226666.6666667,1688120000.0,1688120000.0,6567640000.0,1.0,6974960000.0,1.0,6974960000.0,2.4852066,0.2529395467641101,None
QRTEA,Liberty Interactive Corporation,Consumer Cyclical,United States,1.7877935,0.02038542367634536,13719466666.666666,1.0,805400000.0,2271933333.333333,0.5,14676000000.0,1.0,1432000000.0,1.0,14520000000.0,1.0,1432000000.0,14520000000.0,14676000000.0,13719466666.666666,1.0,805400000.0,14676000000.0,1.0,1432000000.0,1.0,1432000000.0,14676000000.0,0.808,0.808,0.012456064623543197,2.530227,3.6202533,2.6664803,0.2408439,0.004023526322146528,2.6664803,3.0471871262376485e-05,5.214,5.223247,1.063940013523584e-05,2267041155.350978,2259000000.0,2051333333.3333333,2259000000.0,0.09757,0.0015848,0.025,0.7685869,10.0,0.2902472,1.1015606738902203e-08,0.89553,0.0842,0.09348907443595665,2.37,3.391,8.73,0.3884307,0.9712475,0.0009712475,404607008,1432000000,3.5392368,26508,11862279168,3534625280,54021.4274936,0.009,0.024,0.1964651,0.068439,0.1964651,0.068439,0.0558663,2.613605,0.012043284264187656,0.0351097,2.1237594,0.03198162581770632,-0.6,166666.6666667,0.450000000000054,1920800000.0,1.0,1959000000.0,1.0,6.1756972,6.0552727,6.0552727,6.055272699999999e-13,3.0264679,1.0,7.0248586,2.0,7.0248586,2.651445,3.008953723182356e-05,USD,USD,1.0,1.0,0,0,0,0,8.73,7.9,14.62,11.70385,-25.4091602,10.5063291,-40.2872777,0.2470238,0.2480238,0.003875371875,0.2281291,0.1666667,1.2953465,1.0,6.209456,2.0,2.4082476,1.0,0.3986275,2.0,0.2769654,1.0,0.5222608,0.5,0.9971345,1.0,1.3053465,2.4182476,0.2869654,1.0071345,1.1562405,0.005680739293088595,8833866666.666666,0.5,16821466666.666666,1.0,16821466666.666666,2312533333.333333,0.5,5548600000.0,1.5,5548600000.0,0.1851293,0.22836483841704933,0.3580831,0.023773901110098385,158800000.0,-13666666.6666667,-13666666.6666667,12912866666.666666,1.0,12986466666.666666,1.0,12986466666.666666,1.3439937,0.13678909324151134,None
RGA,"Reinsurance Group of America, I",Financial Services,United States,2.7840645,0.023637431377702585,56596266666.66666,4.0,670266666.6666666,15773102000.0,2.0,16442000000.0,1.0,148250000.0,0.25,33372000000.0,1.0,148250000.0,33372000000.0,16442000000.0,56596266666.66666,4.0,670266666.6666666,16442000000.0,1.0,148250000.0,0.25,148250000.0,16442000000.0,0.484,0.484,0.007461306036874885,17.614897,8.019481,16.41547,0.4595886,0.007677864498367912,21.8872933,0.00025012252433272256,6.333,6.5197245,1.3280236934420376e-05,1187526948.6815095,1117500000.0,1160806666.6666667,1117500000.0,0.03607,5.2065278,140.0,0.0006474,0.025,1.7487484,6.636937293343207e-08,0.94152,0.00372,0.004130396162728727,13.86,6.31,111.78,0.0564502,0.5262959,0.0005262959000000001,67985200,593000000,8.7224867,3600,7964088832,7556555264,164722.2222222,-0.324116,0.11,-0.324116,0.0475353,-0.324116,0.0475353,-0.324116,0.2175884,0.0010026300660542695,0.0943838,3.3221951,0.05002883122335676,18.17,18.17,4.9058999999996076e-05,2729866666.6666665,1.0,2182000000.0,0.5,2.9173911,3.6499032,3.6499032,3.6499032e-13,2.6747781,0.5,2.9390153,0.5,2.9390153,1.7153557,1.9466464211390684e-05,USD,USD,1.0,1.0,0,0,0,0,111.78,103.5,134.93,120.00135,-6.8510479,8.0,-17.1570444,0.5268851,0.5278851,0.0082482046875,1.1889858,1.0,1.1707311,1.0,9.6059179,6.0,5.3111941,2.0,0.0870525,0.3333333,0.2603532,1.0,0.4679133,0.5,0.9590102,1.0,1.1807311,5.3211941,0.2703532,0.9690102,1.0748706,0.0052809598456425915,156500909066.66666,2.0,134164400000.0,1.5,134164400000.0,12512635666.666666,1.0,13025866666.666666,1.0,13025866666.666666,0.101105,0.1247173029237175,0.1113812,0.007394835540476751,-445930200.0,-399600000.0,-399600000.0,131475637733.33331,2.0,114625600000.0,1.5,114625600000.0,0.133994,0.013637651545392713,None
CI,Cigna Corporation,Healthcare,United States,0.1078618,0.02668997621338177,543614133333.3333,4.0,6372733333.333333,23681600000.0,1.0,170397000000.0,1.0,8384000000.0,1.0,180420000000.0,1.5,8384000000.0,180420000000.0,170397000000.0,543614133333.3333,4.0,6372733333.333333,170397000000.0,1.0,8384000000.0,1.0,8384000000.0,170397000000.0,0.601,0.601,0.009264968859838442,9.401728,9.461505,9.4092001,0.4398185,0.007347586182240872,9.4092001,0.00010752599002105507,10.091,10.0909552,2.0554591831391244e-05,10154909880.487564,10155000000.0,9863533333.333334,10155000000.0,0.0492,68.7344862,1400.0,0.3890908,10.0,23.0585924,8.751312185993151e-07,0.93666,0.01506,0.016721442529756617,23.12,23.267,216.98,0.1072311,1.5642207,0.0015642206999999999,342600000,8384000000,24.4716871,72226,102472286208,74943750144,116080.0819649,0.168,0.082,0.6683433,0.6661762,0.6683433,0.6661762,0.2930858,5.6637402,0.026098065020195113,0.2280441,5.0253958,0.07567727684288196,0.78,0.78,2.1059999999998313e-06,8824400000.0,1.0,3605000000.0,0.5,11.61238,28.4250447,28.4250447,2.84250447e-12,2.3607238,1.0,4.4100372,2.0,4.4100372,2.1010089,2.3842993356808336e-05,USD,USD,1.0,1.0,0,0,0,0,216.98,190.88,272.81,228.2448,-4.9354027,13.6735122,-20.4647923,0.6371293,0.6381293,0.0099707703125,4.2999787,3.0,0.7271944,0.5,0.8593054,1.0,0.8411976,1.0,0.4728431,1.0,0.9987291,2.0,0.7512404,1.0,0.3590981,0.5,0.7371944,0.8511976,1.0087291,0.3690981,0.5531463,0.0027176698284107604,148994333333.33334,1.0,154029933333.33334,1.0,154029933333.33334,90624933333.33331,2.0,48051666666.66666,1.0,48051666666.66666,0.154431,0.1904971841927958,0.2744789,0.018223239871997827,-8784466666.666666,-10022666666.666666,-10022666666.666666,103627133333.33331,1.0,105913533333.33331,1.0,105913533333.33331,1.8193839,0.1851733932526652,None
KMPR,Kemper Corporation,Financial Services,United States,1.7983888,0.027446451034169976,18931413333.33333,4.0,393646666.6666667,3701973333.3333335,2.0,5582400000.0,1.0,70100000.0,0.25,8190600000.0,1.0,70100000.0,8190600000.0,5582400000.0,18931413333.33333,4.0,393646666.6666667,5582400000.0,1.0,70100000.0,0.25,70100000.0,5582400000.0,0.907,0.907,0.013982240858358514,8.414027,8.897898,8.4745109,0.685406,0.01145035885217422,11.2993478,0.00012912612611854545,7.781,7.783873,1.5855221751691736e-05,649979986.8911451,649500000.0,687313333.3333334,649500000.0,0.05023,11.6641347,140.0,0.0004391,0.025,3.9059346,1.4823998130376896e-07,0.73843,0.04455,0.04946482501332386,6.66,7.043,59.46,0.1184494,0.8879366,0.0008879366,64566500,280100000,4.338163,9500,5061229056,3826210560,29484.2105263,0.4638767,0.216,0.4638767,0.165062,0.4638767,0.165062,0.4638767,7.0608494,0.03253583325361669,0.2032655,4.7584976,0.07165806526749384,6.21,6.21,1.676699999999866e-05,469346666.6666667,1.0,210950000.0,0.5,10.7835624,23.992553,23.992553,2.3992553e-12,1.1583864,0.5,1.1798515,0.5,1.1798515,1.0872097,1.2338040859587784e-05,USD,USD,1.0,1.0,0,0,0,0,59.46,57.9,83.98,72.02325,-17.4433256,2.6943005,-29.197428,0.1196319,0.1206319,0.0018848734375,4.310325,3.0,0.7125138,0.5,0.0199214,0.1666667,0.019384,1.0,0.1675762,1.0,0.2163293,1.0,0.7653998,1.0,0.8689888,1.0,0.7225138,0.029384,0.2263293,0.8789888,0.8007513,0.003934180971780329,26421013333.33333,2.0,14612973333.333334,1.0,14612973333.333334,8081626666.666667,2.0,4352020000.0,1.0,4352020000.0,0.1047971,0.1292716647666002,0.1161075,0.007708624682764276,-743086666.6666666,-394773333.3333333,-394773333.3333333,18339386666.666668,2.0,15391430000.0,1.5,15391430000.0,0.35756,0.036391768934210623,None
THO,"Thor Industries, Inc.",Consumer Cyclical,United States,0.0071507,0.028291477545938352,10351279800.0,1.0,457838200.0,4949981866.666667,2.0,36952140000.0,3.0,1319744000.0,2.0,15041731500.0,1.5,1319744000.0,15041731500.0,36952140000.0,10351279800.0,1.0,457838200.0,36952140000.0,3.0,1319744000.0,2.0,1319744000.0,36952140000.0,0.616,0.616,0.009496207683295309,11.31101,10.09692,11.1592487,0.5010539,0.008370581756333352,11.1592487,0.00012752510857524135,6.667,6.6670078,1.3580243034445511e-05,1138457649.6925154,1138455000.0,887217666.6666666,1138455000.0,0.05357,0.4688052,10.0,1444.498204,25000.0,481.6745264,1.828075226554939e-05,0.92436,0.0435,0.0482989873867472,11.04,9.855,111.56,0.0883381,2.2584436,0.0022584436,55366200,659872000,11.9183184,31000,7590114816,6171670528,21286.1935484,0.932,0.546,1.2133652,0.2933481,1.2133652,0.2933481,1.0023413,10.2616996,0.047285096759648364,0.482837,7.1986475,0.10840420564521905,0.46,0.46,1.2419999999999006e-06,523877733.3333333,1.0,394861500.0,0.75,14.4883325,19.2222205,19.2222205,1.92222205e-12,2.6545364,2.0,2.7081718,2.0,2.7081718,1.6466524,1.8686794822322027e-05,USD,USD,1.0,1.0,0,0,0,0,111.56,91.58,152.2,120.458,-7.386807,21.8169906,-26.7017083,0.6591884,0.6601884,0.01031544375,3.6776405,2.0,1.7488431,1.0,0.084604,1.0,0.2100208,2.0,0.7321068,1.0,0.3066119,0.5,1.5042798,1.0,1.5143704,1.0,1.7588431,0.2200208,0.3166119,1.5243704,1.6416068,0.008065398377380337,12055746800.0,2.0,6579239066.666667,1.0,6579239066.666667,5168061733.333333,2.0,4183875100.0,1.5,4183875100.0,0.3005922,0.3707932195628967,0.4154358,0.027581669246034266,809219733.3333334,929018800.0,929018800.0,3421518666.6666665,1.0,3763873800.0,1.0,3763873800.0,3.2467696,0.33044996382654507,None
LAD,"Lithia Motors, Inc.",Consumer Cyclical,United States,0.3822484,0.030597486487349022,50510533333.333336,4.0,375000000.0,3141293333.333333,2.0,43990800000.0,3.0,580300000.0,1.0,10485450000.0,1.5,580300000.0,10485450000.0,43990800000.0,50510533333.333336,4.0,375000000.0,43990800000.0,3.0,580300000.0,1.0,580300000.0,43990800000.0,0.868,0.868,0.013381019917370661,13.037425,11.79246,12.8818044,0.6295145,0.010516638208079632,12.8818044,0.0001472100451309972,13.383,13.2546872,2.6998899494545974e-05,970097890.3086004,988700000.0,708020000.0,988700000.0,0.03957,45.3005949,1400.0,9.8998947,250.0,18.4143532,6.988707322669965e-07,0.86022,0.02552,0.02833540593355836,25.73,23.273,299.44,0.0777217,2.8746839,0.0028746839,30222800,580300032,19.2007369,14538,12733868032,9230885888,39916.0841931,2.381,0.549,0.4365967,0.0655102,0.4365967,0.0655102,1.8948992,14.0155337,0.0645824661581998,0.4281276,6.7931457,0.10229776682921835,0.49,0.49,1.322999999999894e-06,1016520000.0,2.0,458450000.0,0.5,12.5269233,27.7759146,27.7759146,2.77759146e-12,2.5767204,1.0,2.1035084,1.0,2.1035084,1.4513477,1.6470407892855214e-05,USD,USD,1.0,1.0,0,0,0,0,299.44,268.08,417.98,353.43356,-15.2768628,11.6980006,-28.3602086,0.4184123,0.4194123,0.0065533171875,1.413831,1.0,1.4840306,1.0,0.1979962,0.1666667,1.1887133,1.0,0.8761222,0.5,5.1981903,2.0,2.5542883,2.0,0.6382297,0.5,1.4940306,1.1987133,5.2081903,0.6482297,1.0711301,0.005262582349502475,13733800000.0,2.0,11595160000.0,1.5,11595160000.0,4085386666.6666665,2.0,3802780000.0,1.5,3802780000.0,0.1500467,0.18508896431041158,0.2525989,0.01677057998302526,689760000.0,689020000.0,689020000.0,9648413333.333334,2.0,7792380000.0,1.5,7792380000.0,2.4734729,0.2517453133511351,None
