Symbol,Name
APA,Apa Corp
AXS,Axis Capital Holdings
BDX,Becton Dickinson and 
BKR,Baker Hughes A Ge Co.
BPOP,Popular Inc
COP,Conocophillips
CVX,Chevron Corp
EOG,Eog Resources
FE,Firstenergy Corp
FLO,Flowers Foods
GIS,General Mills
GL,Globe Life Inc
HAL,Halliburton Company
HSY,Hershey Foods Corp
K,Kellogg Company
KDP,Keurig Dr Pepper Inc
KR,Kroger Company
MDLZ,Mondelez Intl Inc
MPC,Marathon Petroleum Co
MRO,Marathon Oil Corp
NOC,Northrop Grumman Corp
OXY,Occidental Petroleum 
PGR,Progressive Corp
PXD,Pioneer Natural Resou
RE,Everest Re Group
SJM,J.M. Smucker Company
SLB,Schlumberger N.V.
TRV,The Travelers Compani
TSN,Tyson Foods
VRTX,Vertex Pharmaceutic
WFC,Wells Fargo & Company
WMB,Williams Companies
WTFC,Wintrust Financial Co
XOM,Exxon Mobil Corp
